idx	id	scientific.name	family	taxon.rank	taxon.status	search.str	threat.status	original.search
232	29636	Eriosema campestre Benth.	Fabaceae	species	accepted	Eriosema campestre	NA	Eriosema campestre
233	28405	Ipomoea geophilifolia K. Afzel.	Convolvulaceae	species	accepted	Ipomoea geophilifolia	NA	Ipomoea geophilifolia
234	29715	Harpalyce brasiliana Benth.	Fabaceae	species	accepted	Harpalyce brasiliana	NA	Harpalyce brasiliana
235	20721	Cordiera sessilis (Vell.) Kuntze	Rubiaceae	species	accepted	Cordiera sessilis	NA	Cordiera sessilis
236	19672	Miconia rubiginosa (Bonpl.) DC.	Melastomataceae	species	accepted	Miconia rubiginosa	NA	Miconia rubiginosa
237	38698	Cordiera elliptica (Cham.) Kuntze	Rubiaceae	species	accepted	Cordiera elliptica	NA	Cordiera elliptica
238	20713	Chomelia ribesioides Benth. ex A.Gray	Rubiaceae	species	accepted	Chomelia ribesioides	NA	Chomelia ribesioides
240	5184	Baccharis gracilis DC.	Asteraceae	species	accepted	Baccharis gracilis	NA	Baccharis gracilis
241	786	Hortia brasiliana Vand. ex DC.	Rutaceae	species	accepted	Hortia brasiliana	NT	Hortia brasiliana
242	16146	Ichthyothere terminalis (Spreng.) S.F.Blake	Asteraceae	species	accepted	Ichthyothere terminalis	NA	Ichthyothere terminalis
243	22831	Bauhinia ungulata L.	Fabaceae	species	accepted	Bauhinia ungulata	NA	Bauhinia ungulata
244	15584	Mandevilla novocapitalis Markgr.	Apocynaceae	species	accepted	Mandevilla novocapitalis	NA	Mandevilla novocapitalis
245	9214	Sida glaziovii K.Schum.	Malvaceae	species	accepted	Sida glaziovii	NA	Sida glaziovii
246	16212	Mikania sessilifolia DC.	Asteraceae	species	accepted	Mikania sessilifolia	NA	Mikania sessilifolia
247	27951	Chamaecrista filicifolia (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista filicifolia	NA	Chamaecrista filicifolia
248	15302	Vochysia elliptica Mart.	Vochysiaceae	species	accepted	Vochysia elliptica	NA	Vochysia elliptica
250	21260	Symplocos rhamnifolia A.DC.	Symplocaceae	species	accepted	Symplocos rhamnifolia	EN	Symplocos rhamnifolia
251	19892	Psidium myrsinites DC.	Myrtaceae	species	accepted	Psidium myrsinites	NA	Psidium myrsinites
252	126132	Aldama kunthiana (Gardner) E.E.Schill. & Panero	Asteraceae	species	accepted	Aldama kunthiana	NA	Aldama kunthiana
253	6638	Lobelia thapsoidea Schott	Campanulaceae	species	accepted	Lobelia thapsoidea	NA	Lobelia thapsoidea
254	19941	Sauvagesia erecta L.	Ochnaceae	species	accepted	Sauvagesia erecta	NA	Sauvagesia erecta
255	16057	Chromolaena horminoides DC.	Asteraceae	species	accepted	Chromolaena horminoides	NA	Chromolaena horminoides
256	30527	Hibiscus capitalensis Krapov. & Fryxell	Malvaceae	species	accepted	Hibiscus capitalensis	NA	Hibiscus capitalensis
257	19634	Macairea radula (Bonpl.) DC.	Melastomataceae	species	accepted	Macairea radula	NA	Macairea radula
258	31055	Mimosa albolanata Taub.	Fabaceae	species	accepted	Mimosa albolanata	NA	Mimosa albolanata
259	14491	Micropholis venulosa (Mart. & Eichler) Pierre	Sapotaceae	species	accepted	Micropholis venulosa	NA	Micropholis venulosa
260	29515	Centrosema bracteosum Benth.	Fabaceae	species	accepted	Centrosema bracteosum	LC	Centrosema bracteosum
261	27896	Chamaecrista conferta (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista conferta	NA	Chamaecrista conferta
262	611	Esenbeckia pumila Pohl	Rutaceae	species	accepted	Esenbeckia pumila	NA	Esenbeckia pumila
263	110276	Cardiopetalum calophyllum Schltdl.	Annonaceae	species	accepted	Cardiopetalum calophyllum	NA	Cardiopetalum calophyllum
264	15322	Vochysia tucanorum Mart.	Vochysiaceae	species	accepted	Vochysia tucanorum	NA	Vochysia tucanorum
265	13877	Coccocypselum aureum (Spreng.) Cham. & Schltdl.	Rubiaceae	species	accepted	Coccocypselum aureum	NA	Coccocypselum aureum
266	26265	Ruellia hapalotricha Lindau	Acanthaceae	species	accepted	Ruellia hapalotricha	NA	Ruellia hapalotricha
267	8778	Diplusodon virgatus Pohl	Lythraceae	species	accepted	Diplusodon virgatus	NA	Diplusodon virgatus
268	17613	Maprounea brasiliensis A.St.-Hil.	Euphorbiaceae	species	accepted	Maprounea brasiliensis	NA	Maprounea brasiliensis
269	14884	Solanum viscosissimum Sendtn.	Solanaceae	species	accepted	Solanum viscosissimum	EN	Solanum viscosissimum
270	23124	Platypodium elegans Vogel	Fabaceae	species	accepted	Platypodium elegans	NA	Platypodium elegans
271	29293	Manihot fruticulosa (Pax) D.J.Rogers & Appan	Euphorbiaceae	species	accepted	Manihot fruticulosa	NA	Manihot fruticulosa
272	27285	Mikania purpurascens (Baker) R.M.King & H.Rob.	Asteraceae	species	accepted	Mikania purpurascens	NA	Mikania purpurascens
273	29860	Stylosanthes capitata Vogel	Fabaceae	species	accepted	Stylosanthes capitata	NA	Stylosanthes capitata
274	19393	Banisteriopsis campestris (A.Juss.) Little	Malpighiaceae	species	accepted	Banisteriopsis campestris	NA	Banisteriopsis campestris
275	24853	Cestrum strigilatum Ruiz & Pav.	Solanaceae	species	accepted	Cestrum strigilatum	NA	Cestrum strigillatum
276	20777	Mitracarpus hirtus (L.) DC.	Rubiaceae	species	accepted	Mitracarpus hirtus	NA	Mitracarpus hirtus
277	29865	Stylosanthes guianensis (Aubl.) Sw.	Fabaceae	species	accepted	Stylosanthes guianensis	NA	Stylosanthes guianensis
278	20795	Palicourea rigida Kunth	Rubiaceae	species	accepted	Palicourea rigida	NA	Palicourea rigida
279	31152	Mimosa falcipinna Benth.	Fabaceae	species	accepted	Mimosa falcipinna	NA	Mimosa falcipinna
280	101008	Senegalia martiusiana (Steud.) Seigler & Ebinger	Fabaceae	species	accepted	Senegalia martiusiana	NA	Senegalia martiusiana
281	12748	Piper arboreum Aubl.	Piperaceae	species	accepted	Piper arboreum	NA	Piper arboreum
282	4899	Ilex lundii Warm.	Aquifoliaceae	species	accepted	Ilex lundii	NA	Ilex lundii
283	14871	Solanum subumbellatum Vell.	Solanaceae	species	accepted	Solanum subumbellatum	NA	Solanum subumbellatum
284	27165	Lessingianthus bardanoides (Less.) H.Rob.	Asteraceae	species	accepted	Lessingianthus bardanoides	NA	Lessingianthus bardanioides
285	9702	Miconia elegans Cogn.	Melastomataceae	species	accepted	Miconia elegans	NA	Miconia elegans
286	19660	Miconia ferruginata DC.	Melastomataceae	species	accepted	Miconia ferruginata	NA	Miconia ferruginata
287	24453	Faramea occidentalis (L.) A.Rich.	Rubiaceae	species	accepted	Faramea occidentalis	NA	Faramea occidentalis
288	132694	Passovia pedunculata (Jacq.) Kuijt	Loranthaceae	species	accepted	Passovia pedunculata	NA	Passovia stelis
289	15321	Vochysia thyrsoidea Pohl	Vochysiaceae	species	accepted	Vochysia thyrsoidea	NA	Vochysia thyrsoidea
290	10326	Campomanesia pubescens (Mart. ex DC.) O.Berg	Myrtaceae	species	accepted	Campomanesia pubescens	LC	Campomanesia pubescens
291	9596	Leandra polystachya (Naudin) Cogn.	Melastomataceae	species	accepted	Leandra polystachya	NA	Leandra polystachya
292	83410	Mimosa debilis Humb. & Bonpl. ex Willd. var. debilis	Fabaceae	variety	accepted	Mimosa debilis var. debilis	NA	Mimosa nuda
293	6783	Plenckia populnea Reissek	Celastraceae	species	accepted	Plenckia populnea	NA	Plenckia populnea
294	14213	Psychotria rupestris Müll.Arg.	Rubiaceae	species	accepted	Psychotria rupestris	NA	Psychotria rupestris
295	9006	Apeiba tibourbou Aubl.	Malvaceae	species	accepted	Apeiba tibourbou	NA	Apeiba tibourbou
296	15293	Qualea multiflora Mart.	Vochysiaceae	species	accepted	Qualea multiflora	NA	Qualea multiflora
297	30423	Banisteriopsis latifolia (A.Juss.) B.Gates	Malpighiaceae	species	accepted	Banisteriopsis latifolia	NA	Banisteriopsis latifolia
298	5480	Piptocarpha macropoda (DC.) Baker	Asteraceae	species	accepted	Piptocarpha macropoda	NA	Piptocarpha macropoda
300	32539	Borreria poaya (A.St.-Hil.) DC.	Rubiaceae	species	accepted	Borreria poaya	NA	Spermacoce poaya
301	114466	Zeyheria montana Mart.	Bignoniaceae	species	accepted	Zeyheria montana	LC	Zeyheria montana
302	8509	Ocotea spixiana (Nees) Mez	Lauraceae	species	accepted	Ocotea spixiana	NA	Ocotea spixiana
303	19411	Banisteriopsis stellaris (Griseb.) B.Gates	Malpighiaceae	species	accepted	Banisteriopsis stellaris	NA	Banisteriopsis stellaris
304	15554	Aspidosperma tomentosum Mart.	Apocynaceae	species	accepted	Aspidosperma tomentosum	LC	Aspidosperma tomentosum
305	9834	Ossaea congestiflora (Naudin) Cogn.	Melastomataceae	species	accepted	Ossaea congestiflora	NA	Ossaea congestiflora
306	31169	Mimosa gracilis Benth.	Fabaceae	species	accepted	Mimosa gracilis	NA	Mimosa gracilis
308	10741	Myrcia pubescens DC.	Myrtaceae	species	accepted	Myrcia pubescens	NA	Myrcia pubescens
309	18187	Calliandra dysantha Benth.	Fabaceae	species	accepted	Calliandra dysantha	NA	Calliandra dysantha
310	25931	Buchnera palustris (Aubl.) Spreng.	Orobanchaceae	species	accepted	Buchnera palustris	NA	Buchnera palustris
311	28201	Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Senna macranthera	NA	Senna macranthera
312	20741	Ferdinandusa speciosa (Pohl) Pohl	Rubiaceae	species	accepted	Ferdinandusa speciosa	NA	Ferdinandusa speciosa
313	1377	Simaba suffruticosa Engl.	Simaroubaceae	species	accepted	Simaba suffruticosa	NA	Simaba suffruticosa
314	115339	Desmodium incanum (Sw.) DC.	Fabaceae	species	accepted	Desmodium incanum	NA	Desmodium incanum
315	20915	Paullinia carpopoda Cambess.	Sapindaceae	species	accepted	Paullinia carpopoda	NA	Paullinia carpopodea
316	24566	Psychotria prunifolia (Kunth) Steyerm.	Rubiaceae	species	accepted	Psychotria prunifolia	LC	Psychotria prunifolia
318	10346	Eugenia augustana Kiaersk.	Myrtaceae	species	accepted	Eugenia augustana	NA	Eugenia augustana
319	14426	Phoradendron fragile Urb.	Santalaceae	species	accepted	Phoradendron fragile	NA	Phoradendron fragile
320	7993	Hydrolea spinosa L.	Hydroleaceae	species	accepted	Hydrolea spinosa	NA	Hydrolea spinosa
321	10768	Myrcia tenuifolia (O.Berg) Sobral	Myrtaceae	species	accepted	Myrcia tenuifolia	NA	Myrcia tenuifolia
322	14587	Aureliana velutina Sendtn.	Solanaceae	species	accepted	Aureliana velutina	NA	Aureliana velutina
323	13782	Euplassa inaequalis (Pohl) Engl.	Proteaceae	species	accepted	Euplassa inaequalis	NA	Euplassa inaequalis
324	14384	Casearia sylvestris Sw.	Salicaceae	species	accepted	Casearia sylvestris	NA	Casearia sylvestris
325	6738	Cheiloclinium cognatum (Miers) A.C.Sm.	Celastraceae	species	accepted	Cheiloclinium cognatum	NA	Cheiloclinium cognatum
326	10688	Myrcia fenzliana O.Berg	Myrtaceae	species	accepted	Myrcia fenzliana	NA	Myrcia fenzliana
327	9275	Waltheria communis A.St.-Hil.	Malvaceae	species	accepted	Waltheria communis	LC	Waltheria communis
328	4654	Mandevilla clandestina J.F.Morales	Apocynaceae	species	accepted	Mandevilla clandestina	NA	Mandevilla clandestina
329	124952	Borreria spinosa Cham. et Schltdl.	Rubiaceae	species	accepted	Borreria spinosa	NA	Borreria spinosa
330	29647	Eriosema defoliatum Benth.	Fabaceae	species	accepted	Eriosema defoliatum	NA	Eriosema defoliatum
331	12738	Piper aduncum L.	Piperaceae	species	accepted	Piper aduncum	NA	Piper aduncum
332	82681	Bauhinia pulchella Benth.	Fabaceae	species	accepted	Bauhinia pulchella	NA	Bauhinia pulchella
334	20966	Serjania multiflora Cambess.	Sapindaceae	species	accepted	Serjania multiflora	NA	Serjania multiflora
335	88145	Laplacea fruticosa (Schrad.) Kobuski	Theaceae	species	accepted	Laplacea fruticosa	NA	Gordonia fruticosa
336	22794	Andira vermifuga (Mart.) Benth.	Fabaceae	species	accepted	Andira vermifuga	LC	Andira vermifuga
337	9992	Cedrela odorata L.	Meliaceae	species	accepted	Cedrela odorata	VU	Cedrela odorata
338	8708	Struthanthus flexicaulis (Mart.) Mart.	Loranthaceae	species	accepted	Struthanthus flexicaulis	NA	Struthanthus flexicaulis
339	32603	Galianthe ramosa E.L.Cabral	Rubiaceae	species	accepted	Galianthe ramosa	NA	Galianthe ramosa
340	15276	Callisthene major Mart.	Vochysiaceae	species	accepted	Callisthene major	NA	Callisthene major
341	10151	Ficus trigona L.f.	Moraceae	species	accepted	Ficus trigona	NA	Ficus trigona
342	132226	Microlicia serpyllifolia D.Don	Melastomataceae	species	accepted	Microlicia serpyllifolia	NA	Microlicia fulva
343	27903	Chamaecrista cotinifolia (G.Don) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista cotinifolia	NA	Chamaecrista cotinifolia
344	12759	Piper cernuum Vell.	Piperaceae	species	accepted	Piper cernuum	NA	Piper cernuum
345	15982	Ayapana amygdalina (Lam.) R.M.King & H.Rob.	Asteraceae	species	accepted	Ayapana amygdalina	NA	Ayapana amygdalina
346	6860	Kielmeyera coriacea Mart. & Zucc.	Calophyllaceae	species	accepted	Kielmeyera coriacea	NA	Kielmeyera coriacea
348	17054	Cayaponia espelina (Silva Manso) Cogn.	Cucurbitaceae	species	accepted	Cayaponia espelina	LC	Cayaponia espelina
349	8835	Byrsonima intermedia A.Juss.	Malpighiaceae	species	accepted	Byrsonima intermedia	NA	Byrsonima intermedia
350	114091	Handroanthus ochraceus (Cham.) Mattos	Bignoniaceae	species	accepted	Handroanthus ochraceus	NA	Handroanthus ochraceus
351	29858	Stylosanthes bracteata Vogel	Fabaceae	species	accepted	Stylosanthes bracteata	NA	Stylosanthes bracteata
352	26157	Lippia lacunosa Mart. & Schauer	Verbenaceae	species	accepted	Lippia lacunosa	NA	Lippia lacunosa
353	7124	Lamanonia ternata Vell.	Cunoniaceae	species	accepted	Lamanonia ternata	NA	Lamanonia ternata
354	5597	Begonia cucullata Willd.	Begoniaceae	species	accepted	Begonia cucullata	NA	Begonia cucullata
355	14021	Galianthe verbenoides (Cham. & Schltdl.) Griseb.	Rubiaceae	species	accepted	Galianthe verbenoides	NA	Galianthe verbenoides
356	30080	Eriope complicata Mart. ex Benth.	Lamiaceae	species	accepted	Eriope complicata	NA	Eriope complicata
357	19793	Virola sebifera Aubl.	Myristicaceae	species	accepted	Virola sebifera	NA	Virola sebifera
358	14370	Casearia grandiflora Cambess.	Salicaceae	species	accepted	Casearia grandiflora	NA	Casearia grandiflora
359	17420	Erythroxylum engleri O.E.Schulz	Erythroxylaceae	species	accepted	Erythroxylum engleri	NA	Erythroxylum engleri
360	10262	Blepharocalyx salicifolius (Kunth) O.Berg	Myrtaceae	species	accepted	Blepharocalyx salicifolius	LC	Blepharocalyx salicifolius
361	31542	Myrcia bella Cambess.	Myrtaceae	species	accepted	Myrcia bella	NA	Myrcia canescens
362	29564	Crotalaria grandiflora Benth.	Fabaceae	species	accepted	Crotalaria grandiflora	NA	Crotalaria grandiflora
363	126134	Aldama linearifolia (Chodat) E.E.Schill. & Panero	Asteraceae	species	accepted	Aldama linearifolia	NA	Aldama linearifolia
364	28388	Evolvulus lagopodioides Meisn.	Convolvulaceae	species	accepted	Evolvulus lagopodioides	NA	Evolvulus lagopodioides
365	16144	Hoehnephytum trixoides (Gardner) Cabrera	Asteraceae	species	accepted	Hoehnephytum trixoides	LC	Hoehneophytum trixoides
366	82147	Melothria pendula L.	Cucurbitaceae	species	accepted	Melothria pendula	NA	Melothria pendula
367	19309	Antonia ovata Pohl	Loganiaceae	species	accepted	Antonia ovata	NA	Antonia ovata
368	9698	Miconia dodecandra Cogn.	Melastomataceae	species	accepted	Miconia dodecandra	NA	Miconia dodecandra
369	583409	Mitracarpus strigosus (Thunb.) P.L.R. Moraes, De Smedt & Hjertson	Rubiaceae	species	accepted	Mitracarpus strigosus	NA	Mitracarpus salzmannianus
370	10772	Myrcia tomentosa (Aubl.) DC.	Myrtaceae	species	accepted	Myrcia tomentosa	NA	Myrcia tomentosa
371	27559	Eriotheca pubescens (Mart. & Zucc.) Schott & Endl.	Malvaceae	species	accepted	Eriotheca pubescens	LC	Eriotheca pubescens
372	32956	Turnera arcuata Urb.	Turneraceae	species	accepted	Turnera arcuata	NA	Turnera arcuata
373	16823	Licania dealbata Hook.f.	Chrysobalanaceae	species	accepted	Licania dealbata	NA	Licania dealbata
374	16100	Elephantopus riparius Gardner	Asteraceae	species	accepted	Elephantopus riparius	LC	Elephantopus riparius
375	16798	Hirtella glandulosa Spreng.	Chrysobalanaceae	species	accepted	Hirtella glandulosa	NA	Hirtella glandulosa
376	6832	Clusia criuva Cambess.	Clusiaceae	species	accepted	Clusia criuva	LC	Clusia criuva
377	19750	Cissampelos ovalifolia DC.	Menispermaceae	species	accepted	Cissampelos ovalifolia	NA	Cissampelos ovalifolia
378	10561	Eugenia uruguayensis Cambess.	Myrtaceae	species	accepted	Eugenia uruguayensis	NA	Eugenia uruguayensis
379	24928	Styrax sieberi Perkins	Styracaceae	species	accepted	Styrax sieberi	NA	Styrax sieberi
380	17845	Lacistema aggregatum (P.J.Bergius) Rusby	Lacistemataceae	species	accepted	Lacistema aggregatum	NA	Lacistema aggregatum
381	7982	Sacoglottis mattogrossensis Malme	Humiriaceae	species	accepted	Sacoglottis mattogrossensis	NA	Sacoglottis mattogrossensis
382	30138	Hyptis hilarii Benth.	Lamiaceae	species	accepted	Hyptis hilarii	NA	Hyptis hilarii
383	78912	Mimosa lanuginosa Glaz. ex Burkart	Fabaceae	species	accepted	Mimosa lanuginosa	NA	Mimosa lanuginosa
384	27858	Chamaecrista brachyrachis (Harms) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista brachyrachis	NA	Chamaecrista brachyrachis
386	14449	Phoradendron strongyloclados Eichler	Santalaceae	species	accepted	Phoradendron strongyloclados	NA	Phoradendron strongyloclados
387	23088	Mimosa pigra L.	Fabaceae	species	accepted	Mimosa pigra	NA	Mimosa pigra
388	101587	Chrysolaena simplex (Less.) Dematt.	Asteraceae	species	accepted	Chrysolaena simplex	NA	Chrysolaena simplex
389	7031	Ipomoea campestris Meisn.	Convolvulaceae	species	accepted	Ipomoea campestris	DD	Ipomoea campestris
390	30783	Microlicia ramosa Pilg.	Melastomataceae	species	accepted	Microlicia ramosa	NA	Microlicia ramosa
391	26376	Astronium nelson-rosae Santin	Anacardiaceae	species	accepted	Astronium nelson-rosae	NA	Astronium nelson-rosae
392	19447	Heteropterys campestris A.Juss.	Malpighiaceae	species	accepted	Heteropterys campestris	NA	Heteropterys campestris
393	29619	Dioclea glabra Benth.	Fabaceae	species	accepted	Dioclea glabra	LC	Dioclea glabra
394	103231	Acanthospermum australe (Loefl.) Kuntze	Asteraceae	species	accepted	Acanthospermum australe	NA	Acanthospermum australe
395	27892	Chamaecrista claussenii (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista claussenii	NA	Chamaecrista claussenii
396	30691	Leandra lacunosa Cogn.	Melastomataceae	species	accepted	Leandra lacunosa	NA	Leandra lacunosa
397	17436	Erythroxylum subrotundum A.St.-Hil.	Erythroxylaceae	species	accepted	Erythroxylum subrotundum	NA	Erythroxylum subrotundum
398	23426	Cariniana domestica (Mart.) Miers	Lecythidaceae	species	accepted	Cariniana domestica	NA	Cariniana domestica
399	22982	Inga alba (Sw.) Willd.	Fabaceae	species	accepted	Inga alba	NA	Inga alba
400	29691	Galactia grewiaefolia (Benth.) Taub.	Fabaceae	species	accepted	Galactia grewiaefolia	NA	Galactia grewiifolia
401	14057	Guettarda viburnoides Cham. & Schltdl.	Rubiaceae	species	accepted	Guettarda viburnoides	NA	Guettarda viburnoides
402	21320	Piriqueta sidifolia (Cambess.) Urb.	Turneraceae	species	accepted	Piriqueta sidifolia	NA	Piriqueta sidifolia
403	26946	Chresta curumbensis (Philipson) H.Rob.	Asteraceae	species	accepted	Chresta curumbensis	NA	Chresta curumbensis
404	9572	Leandra melastomoides Raddi	Melastomataceae	species	accepted	Leandra melastomoides	NA	Leandra melastomoides
405	14725	Solanum americanum Mill.	Solanaceae	species	accepted	Solanum americanum	NA	Solanum americanum
406	8971	Tetrapterys phlomoides (Spreng.) Nied.	Malpighiaceae	species	accepted	Tetrapterys phlomoides	NA	Tetrapterys phlomoides
407	38479	Margaritaria nobilis L.f.	Phyllanthaceae	species	accepted	Margaritaria nobilis	LC	Margaritaria nobilis
408	4671	Mandevilla pohliana (Stadelm.) A.H.Gentry	Apocynaceae	species	accepted	Mandevilla pohliana	NA	Mandevilla pohliana
409	10892	Siphoneugena densiflora O.Berg	Myrtaceae	species	accepted	Siphoneugena densiflora	LC	Siphoneugena densiflora
410	8471	Ocotea minarum (Nees & Mart.) Mez	Lauraceae	species	accepted	Ocotea minarum	NA	Ocotea minarum
411	4516	Asclepias candida Vell.	Apocynaceae	species	accepted	Asclepias candida	NA	Asclepias candida
412	29683	Galactia crassifolia (Benth.) Taub.	Fabaceae	species	accepted	Galactia crassifolia	NA	Galactia crassifolia
413	19404	Banisteriopsis oxyclada (A.Juss.) B.Gates	Malpighiaceae	species	accepted	Banisteriopsis oxyclada	NA	Banisteriopsis oxyclada
414	15015	Turnera hilaireana Urb.	Turneraceae	species	accepted	Turnera hilaireana	LC	Turnera hilaireana
415	20694	Borreria capitata (Ruiz & Pav.) DC.	Rubiaceae	species	accepted	Borreria capitata	NA	Spermacoce capitata
416	14541	Buddleja stachyoides Cham. & Schltdl.	Scrophulariaceae	species	accepted	Buddleja stachyoides	NA	Buddleja stachyoides
417	10314	Campomanesia eugenioides (Cambess.) D.Legrand ex Landrum	Myrtaceae	species	accepted	Campomanesia eugenioides	LC	Campomanesia eugenioides
418	22844	Caesalpinia pulcherrima (L.) Sw.	Fabaceae	species	accepted	Caesalpinia pulcherrima	NA	Caesalpinia pulcherrima
419	31498	Eugenia langsdorffii O.Berg	Myrtaceae	species	accepted	Eugenia langsdorffii	NA	Eugenia langsdorffii
420	110557	Xylopia aromatica (Lam.) Mart.	Annonaceae	species	accepted	Xylopia aromatica	LC	Xylopia aromatica
421	7811	Anetanthus gracilis Hiern	Gesneriaceae	species	accepted	Anetanthus gracilis	DD	Anetanthus gracilis
422	9099	Malvastrum americanum (L.) Torr.	Malvaceae	species	accepted	Malvastrum americanum	LC	Malvastrum americanum
423	25499	Dalechampia caperonioides Baill.	Euphorbiaceae	species	accepted	Dalechampia caperonioides	NA	Dalechampia caperonioides
424	13813	Clematis brasiliana DC.	Ranunculaceae	species	accepted	Clematis brasiliana	NA	Clematis brasiliana
425	19425	Byrsonima pachyphylla A.Juss.	Malpighiaceae	species	accepted	Byrsonima pachyphylla	NA	Byrsonima pachyphylla
426	32670	Psyllocarpus phyllocephalus K.Schum.	Rubiaceae	species	accepted	Psyllocarpus phyllocephalus	NA	Psyllocarpus phyllocephalus
427	9714	Miconia ibaguensis (Bonpl.) Triana	Melastomataceae	species	accepted	Miconia ibaguensis	NA	Miconia ibaguensis
428	32435	Polygala monosperma A.W.Benn.	Polygalaceae	species	accepted	Polygala monosperma	NA	Polygala monosperma
429	29203	Croton goyazensis Müll.Arg.	Euphorbiaceae	species	accepted	Croton goyazensis	NA	Croton goyazensis
430	16062	Chromolaena stachyophylla (Spreng.) R.M.King & H.Rob.	Asteraceae	species	accepted	Chromolaena stachyophylla	NA	Chromolaena stachyophylla
431	32967	Turnera lamiifolia Cambess.	Turneraceae	species	accepted	Turnera lamiifolia	NA	Turnera lamiifolia
432	22909	Dalbergia frutescens (Vell.) Britton	Fabaceae	species	accepted	Dalbergia frutescens	NA	Dalbergia frutescens
433	9866	Rhynchanthera novemnervia DC.	Melastomataceae	species	accepted	Rhynchanthera novemnervia	NA	Rhynchanthera novemnervia
434	14847	Solanum rugosum Dunal	Solanaceae	species	accepted	Solanum rugosum	NA	Solanum rugosum
435	32608	Guettarda pohliana Müll.Arg.	Rubiaceae	species	accepted	Guettarda pohliana	NA	Guettarda pohliana
436	78537	Bauhinia viscidula Harms	Fabaceae	species	synonym	Bauhinia viscidula	NA	Bauhinia viscidula
437	78924	Mimosa pseudoradula Glaz. ex Barneby	Fabaceae	species	accepted	Mimosa pseudoradula	NA	Mimosa pseudoradula
438	27994	Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista machaeriifolia	NA	Chamaecrista machaeriifolia
439	29797	Myroxylon peruiferum L.f.	Fabaceae	species	accepted	Myroxylon peruiferum	LC	Myroxylon peruiferum
440	14012	Galianthe liliifolia (Standl.) E.L.Cabral	Rubiaceae	species	accepted	Galianthe liliifolia	NA	Galianthe liliifolia
441	27338	Pterocaulon rugosum (Vahl) Malme	Asteraceae	species	accepted	Pterocaulon rugosum	NA	Pterocaulon rugosum
442	21251	Styrax camporum Pohl	Styracaceae	species	accepted	Styrax camporum	NA	Styrax camporum
443	29802	Ormosia arborea (Vell.) Harms	Fabaceae	species	accepted	Ormosia arborea	NA	Ormosia arborea
444	17938	Nectandra warmingii Meisn.	Lauraceae	species	accepted	Nectandra warmingii	NT	Nectandra warmingii
445	113866	Pyrostegia venusta (Ker Gawl.) Miers	Bignoniaceae	species	accepted	Pyrostegia venusta	NA	Pyrostegia venusta
447	12780	Piper gaudichaudianum Kunth	Piperaceae	species	accepted	Piper gaudichaudianum	NA	Piper gaudichaudianum
448	27347	Riencourtia oblongifolia Gardner	Asteraceae	species	accepted	Riencourtia oblongifolia	NA	Riencourtia oblongifolia
449	9460	Desmoscelis villosa (Aubl.) Naudin	Melastomataceae	species	accepted	Desmoscelis villosa	NA	Desmoscelis villosa
450	32542	Borreria tenella (Kunth) Cham. & Schltdl.	Rubiaceae	species	accepted	Borreria tenella	NA	Spermacoce tenella
451	29331	Manihot violacea Pohl	Euphorbiaceae	species	accepted	Manihot violacea	NA	Manihot violacea
452	83487	Mucuna pruriens (L.) DC.	Fabaceae	species	accepted	Mucuna pruriens	NA	Mucuna pruriens
453	27236	Lessingianthus virgulatus (Mart. ex DC.) H.Rob.	Asteraceae	species	accepted	Lessingianthus virgulatus	NA	Lessingianthus virgulatus
454	13833	Augusta longifolia (Spreng.) Rehder	Rubiaceae	species	accepted	Augusta longifolia	NA	Augusta longifolia
455	132547	Cyanocephalus adpressus (A.St.-Hil. ex Benth.) Harley & J.F.B.Pastore	Lamiaceae	species	accepted	Cyanocephalus adpressus	NA	Cyanocephalus adpressus
456	5482	Piptocarpha oblonga (Gardner) Baker	Asteraceae	species	accepted	Piptocarpha oblonga	NA	Piptocarpha oblonga
457	30430	Banisteriopsis variabilis B.Gates	Malpighiaceae	species	accepted	Banisteriopsis variabilis	NA	Banisteriopsis variabilis
458	20567	Polygala poaya Mart.	Polygalaceae	species	accepted	Polygala poaya	NA	Polygala poaya
459	20853	Sabicea brasiliensis Wernham	Rubiaceae	species	accepted	Sabicea brasiliensis	NA	Sabicea brasiliensis
460	12627	Peperomia campinasana C.DC.	Piperaceae	species	accepted	Peperomia campinasana	NA	Peperomia campinasana
461	22914	Dalbergia miscolobium Benth.	Fabaceae	species	accepted	Dalbergia miscolobium	NA	Dalbergia miscolobium
462	24915	Solanum sisymbriifolium Lam.	Solanaceae	species	accepted	Solanum sisymbriifolium	NA	Solanum sisymbriifolium
463	4655	Mandevilla coccinea (Hook. & Arn.) Woodson	Apocynaceae	species	accepted	Mandevilla coccinea	LC	Mandevilla coccinea
464	9267	Triumfetta semitriloba Jacq.	Malvaceae	species	accepted	Triumfetta semitriloba	NA	Triumfetta semitriloba
