"kingdom";"phylum";"order";"family";"genus";"species";"Melipona rufiventris.honey";"Scaptotrigona sp.honey";"Tetragonisca angustula.honey";"Melipona rufiventris.pollen";"Scaptotrigona sp.pollen";"Tetragonisca angustula.pollen"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Asteraceae spc";"Asteraceae spc";"0.00153635038238506";"0.00054487467477546";"0.00038375137454129";"0";"0";"0.00149214292246494"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Myrcia";"Myrcia tomentosa";"0";"0.0170850849449836";"0";"0";"0.00248051041598328";"0.00251989571566271"
"Viridiplantae";"Streptophyta";"Myrtales";"Melastomataceae";"Leandra";"Leandra polystachya";"0.030289634903476";"0.00108974934955092";"0";"0.020113963520363";"0.00129426256075984";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Syzygium";"Syzygium spc";"0";"0.00148300320230849";"0";"0";"0.00117572854998939";"0.00104154012169054"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Crepis";"Crepis spc";"0";"0.000426385355846924";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Poales";"Poaceae";"Paspalum";"Paspalum notatum";"0";"0.000426385355846924";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Myrtaceae spc";"Myrtaceae spc";"0.0114057443427724";"0.0128205490567152";"0.0087221804889204";"0.00394675544148069";"0.0149645617245985";"0.00243164698986375"
"Viridiplantae";"Streptophyta";"Rosales";"Rosaceae";"Prunus";"Prunus spc";"0";"0";"0";"0.00105461407272735";"0";"0"
"Viridiplantae";"Streptophyta";"Apiales";"Araliaceae";"Hedera";"Hedera spc";"0";"0.00399574761502004";"0";"0";"0.000334508950143481";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Fabaceae spc";"Fabaceae spc";"0";"0";"0.00172492508482415";"0.00978111833573563";"0.00236712625216524";"0"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Croton";"Croton abaitensis";"0";"0";"0.00409984448572563";"0";"0";"0.000974880266912936"
"Viridiplantae";"Streptophyta";"Ericales";"Styracaceae";"Styrax";"Styrax ferrugineus";"0.00522358016903957";"0";"0";"0.00116213623241515";"0";"0"
"Viridiplantae";"Streptophyta";"Rosales";"Urticaceae";"Urtica";"Urtica spc";"0";"0";"0.00046572977290252";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Helianthus";"Helianthus annuus";"0";"0";"0.000629597655960815";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Picris";"Picris spc";"0";"0.00399574761502004";"0.000681345408505539";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Ranunculales";"Papaveraceae";"Papaver";"Papaver spc";"0";"0";"0";"0.00184239807886102";"0.000306292440778768";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Ambrosia";"Ambrosia polystachya";"0";"0";"0.0004571051474784";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Brassicales";"Brassicaceae";"Sinapis";"Sinapis alba";"0";"0.00078493667780911";"0.000405357394933675";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Brassicales";"Brassicaceae";"Diplotaxis";"Diplotaxis spc";"0";"0";"0";"0.0010927326536693";"0";"0"
"Viridiplantae";"Streptophyta";"Malpighiales";"Hypericaceae";"Hypericum";"Hypericum spc";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Myrcia";"Myrcia pubescens";"0";"0";"0";"0.00278213506017857";"0.00152806463031107";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Lythraceae";"Cuphea";"Cuphea spc";"0.0143337034435148";"0.00328797432783538";"0.00305892946677078";"0";"0";"0.000587413047944848"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Psidium";"Psidium basanthum";"0";"0";"0";"0";"0";"0"
